Jurisdiction,statename,month,Year,m_name,Age,Sex,Suspected_drug_OD_n,Suspected_opioid_OD_n,Suspected_heroin_OD_n,Suspected_stimulant_OD_n,Total_ED
AL,ALABAMA,3,2018,M32018,25-34,F,85,19,6,6,18712
AR,ARKANSAS,3,2018,M32018,25-34,F,36,7,2,1,6838
AZ,ARIZONA,3,2018,M32018,25-34,F,88,30,9,10,10380
CO,COLORADO,3,2018,M32018,25-34,F,62,14,7,1,10605
CT,CONNECTICUT,3,2018,M32018,25-34,F,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,3,2018,M32018,25-34,F,24,.,.,3,3350
FL,FLORIDA,3,2018,M32018,25-34,F,523,133,81,61,84196
GA,GEORGIA,3,2018,M32018,25-34,F,119,15,7,9,37010
IL,ILLINOIS,3,2018,M32018,25-34,F,243,103,64,11,38337
IN,INDIANA,3,2018,M32018,25-34,F,209,61,40,23,20948
KS,KANSAS,3,2018,M32018,25-34,F,60,10,3,6,7563
KY,KENTUCKY,3,2018,M32018,25-34,F,108,41,30,9,13107
LA,LOUISIANA,3,2018,M32018,25-34,F,52,17,8,1,15989
MA,MASSACHUSETTS,3,2018,M32018,25-34,F,252,108,57,11,19741
MD,MARYLAND,3,2018,M32018,25-34,F,168,76,49,7,17543
ME,MAINE,3,2018,M32018,25-34,F,27,12,4,.,3632
MI,MICHIGAN,3,2018,M32018,25-34,F,184,51,42,7,35717
MO,MISSOURI,3,2018,M32018,25-34,F,123,13,8,2,20253
MT,MONTANA,3,2018,M32018,25-34,F,12,3,.,.,2356
NC,NORTH CAROLINA,3,2018,M32018,25-34,F,264,98,52,14,39030
NH,NEW HAMPSHIRE,3,2018,M32018,25-34,F,36,21,13,.,3928
NJ,NEW JERSEY,3,2018,M32018,25-34,F,206,63,36,5,27961
NM,NEW MEXICO,3,2018,M32018,25-34,F,47,16,1,2,5575
NV,NEVADA,3,2018,M32018,25-34,F,54,12,4,6,8774
NY,NEW YORK,3,2018,M32018,25-34,F,242,37,18,6,55068
OH,OHIO,3,2018,M32018,25-34,F,389,128,92,6,49614
OR,OREGON,3,2018,M32018,25-34,F,75,17,9,5,10602
PA,PENNSYLVANIA,3,2018,M32018,25-34,F,251,82,51,7,30164
RI,RHODE ISLAND,3,2018,M32018,25-34,F,16,7,1,1,3757
SD,SOUTH DAKOTA,3,2018,M32018,25-34,F,17,.,.,1,2059
TN,TENNESSEE,3,2018,M32018,25-34,F,129,46,27,9,19648
UT,UTAH,3,2018,M32018,25-34,F,54,16,7,3,5025
VA,VIRGINIA,3,2018,M32018,25-34,F,166,36,19,8,27157
VT,VERMONT,3,2018,M32018,25-34,F,19,4,1,1,1408
WA,WASHINGTON,3,2018,M32018,25-34,F,66,19,6,2,10671
WI,WISCONSIN,3,2018,M32018,25-34,F,69,23,12,1,17671
AK,ALASKA,4,2018,M42018,25-34,F,23,7,2,4,2303
AL,ALABAMA,4,2018,M42018,25-34,F,116,12,5,7,19727
AR,ARKANSAS,4,2018,M42018,25-34,F,39,5,1,1,7305
AZ,ARIZONA,4,2018,M42018,25-34,F,73,29,10,6,10605
CO,COLORADO,4,2018,M42018,25-34,F,45,12,6,2,10072
CT,CONNECTICUT,4,2018,M42018,25-34,F,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,4,2018,M42018,25-34,F,24,3,2,1,3550
FL,FLORIDA,4,2018,M42018,25-34,F,616,150,90,97,85168
GA,GEORGIA,4,2018,M42018,25-34,F,150,28,12,4,36996
IL,ILLINOIS,4,2018,M42018,25-34,F,254,75,47,9,38260
IN,INDIANA,4,2018,M42018,25-34,F,184,45,22,21,21042
KS,KANSAS,4,2018,M42018,25-34,F,41,5,.,4,7247
KY,KENTUCKY,4,2018,M42018,25-34,F,80,35,22,2,13729
LA,LOUISIANA,4,2018,M42018,25-34,F,81,20,11,.,18227
MA,MASSACHUSETTS,4,2018,M42018,25-34,F,250,126,54,10,19622
MD,MARYLAND,4,2018,M42018,25-34,F,157,69,31,8,17902
ME,MAINE,4,2018,M42018,25-34,F,31,8,4,1,3582
MI,MICHIGAN,4,2018,M42018,25-34,F,144,39,29,5,34456
MO,MISSOURI,4,2018,M42018,25-34,F,89,8,4,2,19875
MT,MONTANA,4,2018,M42018,25-34,F,12,.,.,1,2248
NC,NORTH CAROLINA,4,2018,M42018,25-34,F,247,92,45,10,38768
NH,NEW HAMPSHIRE,4,2018,M42018,25-34,F,43,18,10,5,3967
NJ,NEW JERSEY,4,2018,M42018,25-34,F,202,59,33,2,27361
NM,NEW MEXICO,4,2018,M42018,25-34,F,42,12,5,3,5348
NV,NEVADA,4,2018,M42018,25-34,F,46,14,4,4,8707
NY,NEW YORK,4,2018,M42018,25-34,F,268,44,25,5,54560
OH,OHIO,4,2018,M42018,25-34,F,343,123,71,6,48869
OR,OREGON,4,2018,M42018,25-34,F,93,32,11,3,9866
PA,PENNSYLVANIA,4,2018,M42018,25-34,F,277,82,58,3,30291
RI,RHODE ISLAND,4,2018,M42018,25-34,F,25,6,.,.,3779
SD,SOUTH DAKOTA,4,2018,M42018,25-34,F,31,1,1,2,1856
TN,TENNESSEE,4,2018,M42018,25-34,F,162,61,28,8,20542
UT,UTAH,4,2018,M42018,25-34,F,42,10,7,3,4882
VA,VIRGINIA,4,2018,M42018,25-34,F,213,38,24,15,26726
VT,VERMONT,4,2018,M42018,25-34,F,9,5,3,.,1337
WA,WASHINGTON,4,2018,M42018,25-34,F,104,38,22,6,12111
WI,WISCONSIN,4,2018,M42018,25-34,F,68,22,11,.,16644
AK,ALASKA,5,2018,M52018,25-34,F,22,5,2,2,2559
AL,ALABAMA,5,2018,M52018,25-34,F,90,17,8,3,21199
AR,ARKANSAS,5,2018,M52018,25-34,F,53,7,3,.,7723
AZ,ARIZONA,5,2018,M52018,25-34,F,81,35,11,10,10645
CO,COLORADO,5,2018,M52018,25-34,F,65,16,7,2,10448
CT,CONNECTICUT,5,2018,M52018,25-34,F,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,5,2018,M52018,25-34,F,30,3,1,2,3960
FL,FLORIDA,5,2018,M52018,25-34,F,684,174,103,95,86046
GA,GEORGIA,5,2018,M52018,25-34,F,142,14,5,1,38417
IL,ILLINOIS,5,2018,M52018,25-34,F,302,107,61,11,40052
IN,INDIANA,5,2018,M52018,25-34,F,213,60,38,18,21832
KS,KANSAS,5,2018,M52018,25-34,F,45,4,.,4,7743
KY,KENTUCKY,5,2018,M52018,25-34,F,132,68,51,10,15627
LA,LOUISIANA,5,2018,M52018,25-34,F,58,10,6,1,18884
MA,MASSACHUSETTS,5,2018,M52018,25-34,F,292,156,57,7,20692
MD,MARYLAND,5,2018,M52018,25-34,F,185,76,40,7,18806
ME,MAINE,5,2018,M52018,25-34,F,33,14,7,1,3784
MI,MICHIGAN,5,2018,M52018,25-34,F,147,46,35,8,34485
MO,MISSOURI,5,2018,M52018,25-34,F,104,15,10,1,20566
MT,MONTANA,5,2018,M52018,25-34,F,23,4,1,3,2315
NC,NORTH CAROLINA,5,2018,M52018,25-34,F,271,106,59,9,42363
NH,NEW HAMPSHIRE,5,2018,M52018,25-34,F,32,15,8,3,4369
NJ,NEW JERSEY,5,2018,M52018,25-34,F,208,62,42,2,29298
NM,NEW MEXICO,5,2018,M52018,25-34,F,56,19,9,2,5778
NV,NEVADA,5,2018,M52018,25-34,F,57,14,6,8,8997
NY,NEW YORK,5,2018,M52018,25-34,F,284,48,22,4,60021
OH,OHIO,5,2018,M52018,25-34,F,431,143,89,8,50674
OR,OREGON,5,2018,M52018,25-34,F,101,24,15,1,10739
PA,PENNSYLVANIA,5,2018,M52018,25-34,F,323,100,62,5,31321
RI,RHODE ISLAND,5,2018,M52018,25-34,F,32,11,5,2,4130
SD,SOUTH DAKOTA,5,2018,M52018,25-34,F,16,.,.,.,2115
TN,TENNESSEE,5,2018,M52018,25-34,F,161,59,28,8,21547
UT,UTAH,5,2018,M52018,25-34,F,51,10,.,6,4946
VA,VIRGINIA,5,2018,M52018,25-34,F,217,52,32,25,29074
VT,VERMONT,5,2018,M52018,25-34,F,19,10,3,.,1371
WA,WASHINGTON,5,2018,M52018,25-34,F,75,32,10,4,12731
WI,WISCONSIN,5,2018,M52018,25-34,F,83,29,20,2,17407
AK,ALASKA,6,2018,M62018,25-34,F,7,1,1,1,2179
AL,ALABAMA,6,2018,M62018,25-34,F,106,21,6,7,19637
AR,ARKANSAS,6,2018,M62018,25-34,F,36,7,3,2,7307
AZ,ARIZONA,6,2018,M62018,25-34,F,113,42,10,10,9915
CO,COLORADO,6,2018,M62018,25-34,F,67,13,5,1,9616
CT,CONNECTICUT,6,2018,M62018,25-34,F,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,6,2018,M62018,25-34,F,20,4,1,.,3721
FL,FLORIDA,6,2018,M62018,25-34,F,644,181,112,91,80026
GA,GEORGIA,6,2018,M62018,25-34,F,140,18,5,5,35453
IL,ILLINOIS,6,2018,M62018,25-34,F,246,82,47,5,38056
IN,INDIANA,6,2018,M62018,25-34,F,215,63,40,22,21561
KS,KANSAS,6,2018,M62018,25-34,F,51,7,2,1,7173
KY,KENTUCKY,6,2018,M62018,25-34,F,128,59,36,8,15125
LA,LOUISIANA,6,2018,M62018,25-34,F,50,11,7,1,17406
MA,MASSACHUSETTS,6,2018,M62018,25-34,F,266,139,63,11,20728
MD,MARYLAND,6,2018,M62018,25-34,F,203,91,47,9,18284
ME,MAINE,6,2018,M62018,25-34,F,37,17,4,1,3646
MI,MICHIGAN,6,2018,M62018,25-34,F,151,36,29,6,32634
MO,MISSOURI,6,2018,M62018,25-34,F,132,15,10,4,19745
MT,MONTANA,6,2018,M62018,25-34,F,16,1,1,.,2350
NC,NORTH CAROLINA,6,2018,M62018,25-34,F,266,102,53,15,38467
NH,NEW HAMPSHIRE,6,2018,M62018,25-34,F,31,17,8,1,4272
NJ,NEW JERSEY,6,2018,M62018,25-34,F,228,49,23,2,28335
NM,NEW MEXICO,6,2018,M62018,25-34,F,53,16,2,1,5835
NV,NEVADA,6,2018,M62018,25-34,F,58,15,7,2,8648
NY,NEW YORK,6,2018,M62018,25-34,F,325,49,25,3,56150
OH,OHIO,6,2018,M62018,25-34,F,415,137,88,5,48935
OR,OREGON,6,2018,M62018,25-34,F,98,28,16,4,10185
PA,PENNSYLVANIA,6,2018,M62018,25-34,F,290,100,71,9,27548
RI,RHODE ISLAND,6,2018,M62018,25-34,F,29,13,4,1,3923
SD,SOUTH DAKOTA,6,2018,M62018,25-34,F,19,.,.,2,2086
TN,TENNESSEE,6,2018,M62018,25-34,F,180,79,65,11,20687
UT,UTAH,6,2018,M62018,25-34,F,29,10,4,2,3308
VA,VIRGINIA,6,2018,M62018,25-34,F,186,31,21,17,26737
VT,VERMONT,6,2018,M62018,25-34,F,17,10,7,.,1318
WA,WASHINGTON,6,2018,M62018,25-34,F,99,47,17,4,12411
WI,WISCONSIN,6,2018,M62018,25-34,F,88,30,15,3,16641
AK,ALASKA,7,2018,M72018,25-34,F,16,1,.,2,2531
AL,ALABAMA,7,2018,M72018,25-34,F,119,21,6,7,20303
AR,ARKANSAS,7,2018,M72018,25-34,F,50,8,3,2,7886
AZ,ARIZONA,7,2018,M72018,25-34,F,96,32,9,18,10388
CO,COLORADO,7,2018,M72018,25-34,F,68,13,5,3,10234
CT,CONNECTICUT,7,2018,M72018,25-34,F,84,45,21,5,11082
DC,DISTRICT OF COLUMBIA,7,2018,M72018,25-34,F,29,1,1,1,3844
FL,FLORIDA,7,2018,M72018,25-34,F,709,158,96,106,84086
GA,GEORGIA,7,2018,M72018,25-34,F,151,24,8,8,37222
IL,ILLINOIS,7,2018,M72018,25-34,F,261,86,44,10,39815
IN,INDIANA,7,2018,M72018,25-34,F,215,60,39,11,22782
KS,KANSAS,7,2018,M72018,25-34,F,43,5,1,2,7520
KY,KENTUCKY,7,2018,M72018,25-34,F,159,80,53,8,15823
LA,LOUISIANA,7,2018,M72018,25-34,F,66,23,10,3,18453
MA,MASSACHUSETTS,7,2018,M72018,25-34,F,278,131,52,4,21993
MD,MARYLAND,7,2018,M72018,25-34,F,199,96,48,10,19023
ME,MAINE,7,2018,M72018,25-34,F,39,13,5,1,3995
MI,MICHIGAN,7,2018,M72018,25-34,F,163,40,33,7,34868
MO,MISSOURI,7,2018,M72018,25-34,F,138,10,6,2,20772
MT,MONTANA,7,2018,M72018,25-34,F,28,3,1,1,2471
NC,NORTH CAROLINA,7,2018,M72018,25-34,F,258,96,50,7,39936
NH,NEW HAMPSHIRE,7,2018,M72018,25-34,F,37,12,4,.,4525
NJ,NEW JERSEY,7,2018,M72018,25-34,F,207,53,36,2,29837
NM,NEW MEXICO,7,2018,M72018,25-34,F,57,14,4,4,6172
NV,NEVADA,7,2018,M72018,25-34,F,47,14,8,8,9346
NY,NEW YORK,7,2018,M72018,25-34,F,361,61,33,8,60419
OH,OHIO,7,2018,M72018,25-34,F,482,181,107,7,50871
OR,OREGON,7,2018,M72018,25-34,F,91,25,13,7,10802
PA,PENNSYLVANIA,7,2018,M72018,25-34,F,297,109,70,8,29535
RI,RHODE ISLAND,7,2018,M72018,25-34,F,32,15,4,2,4147
SD,SOUTH DAKOTA,7,2018,M72018,25-34,F,23,1,.,.,2152
TN,TENNESSEE,7,2018,M72018,25-34,F,158,59,29,11,21994
UT,UTAH,7,2018,M72018,25-34,F,23,7,2,3,3019
VA,VIRGINIA,7,2018,M72018,25-34,F,184,27,15,19,27868
VT,VERMONT,7,2018,M72018,25-34,F,16,5,1,.,1626
WA,WASHINGTON,7,2018,M72018,25-34,F,104,36,18,4,13509
WI,WISCONSIN,7,2018,M72018,25-34,F,79,17,9,3,17653
AK,ALASKA,8,2018,M82018,25-34,F,15,4,2,2,2433
AL,ALABAMA,8,2018,M82018,25-34,F,99,23,9,8,19906
AR,ARKANSAS,8,2018,M82018,25-34,F,29,.,.,3,7777
AZ,ARIZONA,8,2018,M82018,25-34,F,105,44,15,13,10589
CO,COLORADO,8,2018,M82018,25-34,F,71,13,4,1,10667
CT,CONNECTICUT,8,2018,M82018,25-34,F,97,45,27,.,11297
DC,DISTRICT OF COLUMBIA,8,2018,M82018,25-34,F,35,2,1,3,3931
FL,FLORIDA,8,2018,M82018,25-34,F,688,191,115,83,83470
GA,GEORGIA,8,2018,M82018,25-34,F,131,22,10,5,37937
IL,ILLINOIS,8,2018,M82018,25-34,F,245,91,64,13,39633
IN,INDIANA,8,2018,M82018,25-34,F,238,69,42,23,22943
KS,KANSAS,8,2018,M82018,25-34,F,56,8,2,6,7884
KY,KENTUCKY,8,2018,M82018,25-34,F,158,78,49,4,16633
LA,LOUISIANA,8,2018,M82018,25-34,F,64,17,8,2,18470
MA,MASSACHUSETTS,8,2018,M82018,25-34,F,277,130,59,4,21690
MD,MARYLAND,8,2018,M82018,25-34,F,200,84,34,10,19115
ME,MAINE,8,2018,M82018,25-34,F,40,13,8,.,4043
MI,MICHIGAN,8,2018,M82018,25-34,F,164,38,30,5,35481
MO,MISSOURI,8,2018,M82018,25-34,F,117,12,8,3,20566
MT,MONTANA,8,2018,M82018,25-34,F,32,5,1,1,2480
NC,NORTH CAROLINA,8,2018,M82018,25-34,F,225,88,46,4,39208
NH,NEW HAMPSHIRE,8,2018,M82018,25-34,F,41,19,10,3,4614
NJ,NEW JERSEY,8,2018,M82018,25-34,F,246,69,41,4,29930
NM,NEW MEXICO,8,2018,M82018,25-34,F,56,20,5,3,6154
NV,NEVADA,8,2018,M82018,25-34,F,49,7,5,7,9378
NY,NEW YORK,8,2018,M82018,25-34,F,327,56,35,5,60776
OH,OHIO,8,2018,M82018,25-34,F,497,184,131,8,50297
OR,OREGON,8,2018,M82018,25-34,F,98,24,9,5,10497
PA,PENNSYLVANIA,8,2018,M82018,25-34,F,338,124,74,9,32007
RI,RHODE ISLAND,8,2018,M82018,25-34,F,22,11,1,.,4280
SD,SOUTH DAKOTA,8,2018,M82018,25-34,F,15,.,.,.,2181
TN,TENNESSEE,8,2018,M82018,25-34,F,175,70,44,8,20620
UT,UTAH,8,2018,M82018,25-34,F,69,26,8,6,5457
VA,VIRGINIA,8,2018,M82018,25-34,F,200,39,17,17,27704
VT,VERMONT,8,2018,M82018,25-34,F,9,4,2,.,1464
WA,WASHINGTON,8,2018,M82018,25-34,F,103,43,17,5,13570
WI,WISCONSIN,8,2018,M82018,25-34,F,92,26,12,2,18426
AK,ALASKA,9,2018,M92018,25-34,F,12,5,2,.,2439
AL,ALABAMA,9,2018,M92018,25-34,F,104,20,5,4,19784
AR,ARKANSAS,9,2018,M92018,25-34,F,28,.,.,5,7758
AZ,ARIZONA,9,2018,M92018,25-34,F,97,33,13,8,10229
CO,COLORADO,9,2018,M92018,25-34,F,65,15,4,1,10334
CT,CONNECTICUT,9,2018,M92018,25-34,F,79,38,16,3,10565
DC,DISTRICT OF COLUMBIA,9,2018,M92018,25-34,F,32,1,1,2,3481
FL,FLORIDA,9,2018,M92018,25-34,F,633,124,65,69,83249
GA,GEORGIA,9,2018,M92018,25-34,F,154,17,6,9,36262
IL,ILLINOIS,9,2018,M92018,25-34,F,227,74,41,9,38692
IN,INDIANA,9,2018,M92018,25-34,F,218,65,44,22,22044
KS,KANSAS,9,2018,M92018,25-34,F,35,7,2,2,7712
KY,KENTUCKY,9,2018,M92018,25-34,F,164,70,42,7,17221
LA,LOUISIANA,9,2018,M92018,25-34,F,60,16,12,3,18487
MA,MASSACHUSETTS,9,2018,M92018,25-34,F,288,109,46,7,20702
MD,MARYLAND,9,2018,M92018,25-34,F,186,74,30,6,18067
ME,MAINE,9,2018,M92018,25-34,F,41,15,6,.,3709
MI,MICHIGAN,9,2018,M92018,25-34,F,159,30,25,4,33688
MO,MISSOURI,9,2018,M92018,25-34,F,101,9,5,2,20084
MT,MONTANA,9,2018,M92018,25-34,F,20,2,.,1,2331
NC,NORTH CAROLINA,9,2018,M92018,25-34,F,235,107,55,14,37874
NH,NEW HAMPSHIRE,9,2018,M92018,25-34,F,57,27,16,5,4487
NJ,NEW JERSEY,9,2018,M92018,25-34,F,220,63,39,3,28905
NM,NEW MEXICO,9,2018,M92018,25-34,F,38,10,2,2,6165
NV,NEVADA,9,2018,M92018,25-34,F,55,12,3,6,9151
NY,NEW YORK,9,2018,M92018,25-34,F,282,47,24,5,58443
OH,OHIO,9,2018,M92018,25-34,F,427,154,93,2,50217
OR,OREGON,9,2018,M92018,25-34,F,101,32,13,2,10178
PA,PENNSYLVANIA,9,2018,M92018,25-34,F,277,95,59,3,31136
RI,RHODE ISLAND,9,2018,M92018,25-34,F,26,10,3,.,4043
SD,SOUTH DAKOTA,9,2018,M92018,25-34,F,15,.,.,.,2118
TN,TENNESSEE,9,2018,M92018,25-34,F,147,48,24,9,19882
UT,UTAH,9,2018,M92018,25-34,F,51,20,8,3,5207
VA,VIRGINIA,9,2018,M92018,25-34,F,191,30,20,8,27220
VT,VERMONT,9,2018,M92018,25-34,F,16,8,4,.,1418
WA,WASHINGTON,9,2018,M92018,25-34,F,104,43,18,2,13446
WI,WISCONSIN,9,2018,M92018,25-34,F,78,17,8,1,17313
AK,ALASKA,10,2018,M102018,25-34,F,29,8,6,3,2308
AL,ALABAMA,10,2018,M102018,25-34,F,94,19,6,5,20081
AR,ARKANSAS,10,2018,M102018,25-34,F,36,6,4,3,7397
AZ,ARIZONA,10,2018,M102018,25-34,F,78,33,10,7,10239
CO,COLORADO,10,2018,M102018,25-34,F,48,13,7,.,10157
CT,CONNECTICUT,10,2018,M102018,25-34,F,106,57,36,2,10778
DC,DISTRICT OF COLUMBIA,10,2018,M102018,25-34,F,23,4,1,1,3352
DE,DELAWARE,10,2018,M102018,25-34,F,44,27,18,4,4007
FL,FLORIDA,10,2018,M102018,25-34,F,609,159,82,68,83905
GA,GEORGIA,10,2018,M102018,25-34,F,144,23,11,3,36824
IL,ILLINOIS,10,2018,M102018,25-34,F,260,91,59,11,37647
IN,INDIANA,10,2018,M102018,25-34,F,199,62,41,15,21559
KS,KANSAS,10,2018,M102018,25-34,F,49,9,3,3,7365
KY,KENTUCKY,10,2018,M102018,25-34,F,127,60,39,6,16541
LA,LOUISIANA,10,2018,M102018,25-34,F,55,14,7,.,18741
MA,MASSACHUSETTS,10,2018,M102018,25-34,F,243,106,41,3,20214
MD,MARYLAND,10,2018,M102018,25-34,F,171,74,36,4,18260
ME,MAINE,10,2018,M102018,25-34,F,33,11,4,.,3680
MI,MICHIGAN,10,2018,M102018,25-34,F,152,53,39,4,33883
MO,MISSOURI,10,2018,M102018,25-34,F,102,4,3,1,19654
MT,MONTANA,10,2018,M102018,25-34,F,17,2,.,1,2427
NC,NORTH CAROLINA,10,2018,M102018,25-34,F,254,108,57,5,39900
NH,NEW HAMPSHIRE,10,2018,M102018,25-34,F,30,17,8,1,4156
NJ,NEW JERSEY,10,2018,M102018,25-34,F,211,63,33,1,28550
NM,NEW MEXICO,10,2018,M102018,25-34,F,48,12,8,3,5660
NV,NEVADA,10,2018,M102018,25-34,F,53,10,3,3,9239
NY,NEW YORK,10,2018,M102018,25-34,F,286,45,17,9,59937
OH,OHIO,10,2018,M102018,25-34,F,379,135,85,3,49146
OR,OREGON,10,2018,M102018,25-34,F,78,20,10,3,10212
PA,PENNSYLVANIA,10,2018,M102018,25-34,F,276,86,60,6,30695
RI,RHODE ISLAND,10,2018,M102018,25-34,F,31,14,4,3,3508
SD,SOUTH DAKOTA,10,2018,M102018,25-34,F,12,1,.,.,2034
TN,TENNESSEE,10,2018,M102018,25-34,F,137,63,36,10,19202
UT,UTAH,10,2018,M102018,25-34,F,61,19,8,3,5026
VA,VIRGINIA,10,2018,M102018,25-34,F,162,33,16,6,26620
VT,VERMONT,10,2018,M102018,25-34,F,16,4,3,.,1459
WA,WASHINGTON,10,2018,M102018,25-34,F,112,39,18,4,13669
WI,WISCONSIN,10,2018,M102018,25-34,F,79,18,13,.,17300
AK,ALASKA,11,2018,M112018,25-34,F,33,6,3,2,2263
AL,ALABAMA,11,2018,M112018,25-34,F,88,15,8,4,19599
AR,ARKANSAS,11,2018,M112018,25-34,F,32,8,.,1,7169
AZ,ARIZONA,11,2018,M112018,25-34,F,78,34,6,6,9632
CO,COLORADO,11,2018,M112018,25-34,F,42,9,2,1,9873
CT,CONNECTICUT,11,2018,M112018,25-34,F,91,38,18,.,9784
DC,DISTRICT OF COLUMBIA,11,2018,M112018,25-34,F,12,.,.,2,3473
DE,DELAWARE,11,2018,M112018,25-34,F,19,11,9,2,3590
FL,FLORIDA,11,2018,M112018,25-34,F,576,167,93,71,78589
GA,GEORGIA,11,2018,M112018,25-34,F,131,27,10,6,35710
IL,ILLINOIS,11,2018,M112018,25-34,F,227,80,40,10,35622
IN,INDIANA,11,2018,M112018,25-34,F,174,50,30,21,20427
KS,KANSAS,11,2018,M112018,25-34,F,44,6,1,3,7179
KY,KENTUCKY,11,2018,M112018,25-34,F,118,53,31,4,14702
LA,LOUISIANA,11,2018,M112018,25-34,F,48,18,8,2,17975
MA,MASSACHUSETTS,11,2018,M112018,25-34,F,208,95,36,4,18489
ME,MAINE,11,2018,M112018,25-34,F,22,9,6,2,3347
MI,MICHIGAN,11,2018,M112018,25-34,F,140,40,33,3,32229
MO,MISSOURI,11,2018,M112018,25-34,F,116,9,2,1,17936
MT,MONTANA,11,2018,M112018,25-34,F,17,5,1,1,2227
NC,NORTH CAROLINA,11,2018,M112018,25-34,F,192,76,38,10,36407
NH,NEW HAMPSHIRE,11,2018,M112018,25-34,F,43,20,9,2,4232
NJ,NEW JERSEY,11,2018,M112018,25-34,F,211,56,36,4,26199
NM,NEW MEXICO,11,2018,M112018,25-34,F,33,10,3,2,5375
NV,NEVADA,11,2018,M112018,25-34,F,46,11,2,6,8864
NY,NEW YORK,11,2018,M112018,25-34,F,260,38,23,5,53458
OH,OHIO,11,2018,M112018,25-34,F,341,112,73,9,46333
OR,OREGON,11,2018,M112018,25-34,F,76,16,5,4,9730
PA,PENNSYLVANIA,11,2018,M112018,25-34,F,239,79,46,7,28592
RI,RHODE ISLAND,11,2018,M112018,25-34,F,18,9,5,.,2680
SD,SOUTH DAKOTA,11,2018,M112018,25-34,F,18,.,.,2,1950
TN,TENNESSEE,11,2018,M112018,25-34,F,157,69,36,12,19623
UT,UTAH,11,2018,M112018,25-34,F,60,16,4,3,4515
VA,VIRGINIA,11,2018,M112018,25-34,F,124,24,11,10,21586
VT,VERMONT,11,2018,M112018,25-34,F,10,2,.,.,1402
WA,WASHINGTON,11,2018,M112018,25-34,F,114,54,16,6,13451
WV,WEST VIRGINIA,11,2018,M112018,25-34,F,32,14,6,1,6034
AK,ALASKA,12,2018,M122018,25-34,F,12,2,1,.,2067
AL,ALABAMA,12,2018,M122018,25-34,F,112,22,7,2,20560
AR,ARKANSAS,12,2018,M122018,25-34,F,42,7,2,2,7365
AZ,ARIZONA,12,2018,M122018,25-34,F,73,29,4,5,10128
CO,COLORADO,12,2018,M122018,25-34,F,56,14,10,2,10369
CT,CONNECTICUT,12,2018,M122018,25-34,F,76,32,14,3,10685
DC,DISTRICT OF COLUMBIA,12,2018,M122018,25-34,F,20,3,1,.,3358
DE,DELAWARE,12,2018,M122018,25-34,F,45,29,18,5,3739
FL,FLORIDA,12,2018,M122018,25-34,F,609,153,78,72,81932
GA,GEORGIA,12,2018,M122018,25-34,F,130,17,7,10,37768
IL,ILLINOIS,12,2018,M122018,25-34,F,252,94,55,9,38021
IN,INDIANA,12,2018,M122018,25-34,F,180,44,21,17,21692
KS,KANSAS,12,2018,M122018,25-34,F,47,4,.,1,7381
KY,KENTUCKY,12,2018,M122018,25-34,F,107,44,26,4,14895
LA,LOUISIANA,12,2018,M122018,25-34,F,82,21,7,4,18406
MA,MASSACHUSETTS,12,2018,M122018,25-34,F,246,97,41,4,20347
ME,MAINE,12,2018,M122018,25-34,F,39,9,5,1,3452
MI,MICHIGAN,12,2018,M122018,25-34,F,125,35,31,3,33079
MO,MISSOURI,12,2018,M122018,25-34,F,84,12,8,1,18059
MT,MONTANA,12,2018,M122018,25-34,F,18,3,2,3,2321
NC,NORTH CAROLINA,12,2018,M122018,25-34,F,229,80,42,9,38208
NH,NEW HAMPSHIRE,12,2018,M122018,25-34,F,31,13,8,.,4546
NJ,NEW JERSEY,12,2018,M122018,25-34,F,179,59,39,1,28024
NM,NEW MEXICO,12,2018,M122018,25-34,F,47,10,2,3,5928
NV,NEVADA,12,2018,M122018,25-34,F,42,12,5,4,9382
NY,NEW YORK,12,2018,M122018,25-34,F,203,33,16,2,56350
OH,OHIO,12,2018,M122018,25-34,F,351,135,79,9,48613
OR,OREGON,12,2018,M122018,25-34,F,78,16,8,3,10249
PA,PENNSYLVANIA,12,2018,M122018,25-34,F,217,75,45,5,29989
RI,RHODE ISLAND,12,2018,M122018,25-34,F,34,15,3,.,3823
SD,SOUTH DAKOTA,12,2018,M122018,25-34,F,15,.,.,.,1961
TN,TENNESSEE,12,2018,M122018,25-34,F,165,71,41,14,21728
UT,UTAH,12,2018,M122018,25-34,F,55,22,12,1,4885
VA,VIRGINIA,12,2018,M122018,25-34,F,112,24,14,8,22058
VT,VERMONT,12,2018,M122018,25-34,F,12,1,.,.,1383
WA,WASHINGTON,12,2018,M122018,25-34,F,100,40,13,.,14482
WV,WEST VIRGINIA,12,2018,M122018,25-34,F,37,18,9,1,6327
AK,ALASKA,1,2019,M12019,25-34,F,16,3,2,1,2230
AL,ALABAMA,1,2019,M12019,25-34,F,95,19,9,4,21687
AR,ARKANSAS,1,2019,M12019,25-34,F,42,7,2,3,7548
AZ,ARIZONA,1,2019,M12019,25-34,F,93,38,9,5,10609
CO,COLORADO,1,2019,M12019,25-34,F,62,17,5,.,10265
CT,CONNECTICUT,1,2019,M12019,25-34,F,79,35,13,.,10894
